Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0603_1608Metric,152.5801,-93.9044,-90,top
C2,0.1uf,C_0603_1608Metric,152.5801,-97.5236,90,top
C3,0.1uf,C_0603_1608Metric,152.5801,-100.7624,-90,top
C4,0.1uf,C_0603_1608Metric,152.5801,-104.8518,90,top
C5,0.1uf,C_0603_1608Metric,132.3617,-102.642,90,top
C7,1uf,C_0805_2012Metric,132.8951,-91.8216,0,top
IC1,DRV8432DKD,SOP65P1420X360-36N,142.5217,-98.7304,0,top
J1,Conn_01x06_Female,PinHeader_1x06_P2.54mm_Vertical,157.3045,-92.3804,0,top
J2,Conn_01x06_Female,PinHeader_1x06_P2.54mm_Vertical,129.3645,-92.3804,0,top
R1,47k,R_0603_1608Metric,132.5395,-99.0868,90,top
R2,1,R_0603_1608Metric,132.5395,-95.5176,90,top
R3,47k,R_0603_1608Metric,132.6919,-105.7916,0,top
